"dep","jour","hosp","rea","radc","dcc","dc","rad"
"55",2020-07-29,2,0,501,103,0,1
"56",2020-07-29,17,1,432,96,0,0
"57",2020-07-29,161,4,2495,839,0,0
"58",2020-07-29,0,0,99,28,0,0
"59",2020-07-29,195,15,2515,664,1,5
"60",2020-07-29,133,3,1192,415,0,0
"61",2020-07-29,22,2,244,40,0,0
"62",2020-07-29,87,13,1398,317,0,1
"63",2020-07-29,16,0,179,43,0,0
"64",2020-07-29,0,0,226,27,0,0
"65",2020-07-29,3,2,157,27,0,0
"66",2020-07-29,2,0,280,34,0,0
"67",2020-07-29,170,4,2638,666,2,9
"68",2020-07-29,147,5,2997,824,0,3
"69",2020-07-29,99,6,3081,664,0,6
"70",2020-07-29,0,0,309,77,0,0
"71",2020-07-29,3,1,782,201,0,2
"72",2020-07-29,30,0,373,84,0,3
"73",2020-07-29,9,0,413,73,0,0
"74",2020-07-29,72,2,865,166,0,2
"75",2020-07-29,282,38,6406,1776,1,12
"76",2020-07-29,43,4,814,183,0,0
"77",2020-07-29,190,29,2709,701,1,7
"78",2020-07-29,293,21,2322,528,0,3
"79",2020-07-29,2,0,67,22,0,0
"80",2020-07-29,41,1,754,232,0,0
"81",2020-07-29,2,2,123,23,0,0
"82",2020-07-29,5,0,42,6,0,0
"83",2020-07-29,49,1,1010,140,1,2
"84",2020-07-29,8,2,261,38,0,1
"85",2020-07-29,10,0,267,41,0,1
"86",2020-07-29,2,0,148,40,1,0
"87",2020-07-29,2,0,133,25,0,0
"88",2020-07-29,8,0,741,266,0,1
"89",2020-07-29,13,2,382,94,0,7
"90",2020-07-29,0,0,558,200,0,0
"91",2020-07-29,263,13,2452,538,0,2
"92",2020-07-29,573,36,4506,1092,0,0
"93",2020-07-29,477,26,3908,1008,4,44
"94",2020-07-29,298,13,4435,1209,1,3
"95",2020-07-29,259,5,2654,711,0,3
"971",2020-07-29,5,0,84,17,0,0
"972",2020-07-29,9,4,96,15,0,1
"973",2020-07-29,134,28,1009,41,0,24
"974",2020-07-29,20,2,160,5,1,1
"976",2020-07-29,13,2,416,28,0,0
"1",2020-07-30,29,1,450,105,0,1
"2",2020-07-30,46,4,1094,279,1,6
"3",2020-07-30,2,0,203,41,0,0
"4",2020-07-30,2,0,131,13,0,0
"5",2020-07-30,3,0,133,18,0,0
"6",2020-07-30,30,5,777,190,1,6
"7",2020-07-30,2,1,448,110,0,0
"8",2020-07-30,5,0,216,60,0,0
"9",2020-07-30,0,0,33,2,0,0
"10",2020-07-30,25,0,629,136,0,0
"11",2020-07-30,5,2,235,59,0,0
"12",2020-07-30,3,0,144,24,0,0
"13",2020-07-30,292,11,3414,566,0,2
"14",2020-07-30,14,1,328,85,0,0
"15",2020-07-30,8,1,50,9,0,1
"16",2020-07-30,2,0,59,13,0,0
"17",2020-07-30,5,0,149,51,0,0
"18",2020-07-30,8,0,196,85,0,0
"19",2020-07-30,1,0,159,37,0,0
"21",2020-07-30,3,0,955,250,0,3
"22",2020-07-30,4,0,225,39,0,1
"23",2020-07-30,1,1,81,14,0,0
"24",2020-07-30,1,0,98,14,0,0
"25",2020-07-30,2,0,640,151,0,0
"26",2020-07-30,7,3,535,129,0,10
"27",2020-07-30,36,0,247,84,0,2
"28",2020-07-30,34,6,571,140,0,0
"29",2020-07-30,9,0,189,44,0,0
"2A",2020-07-30,7,0,144,48,0,0
"2B",2020-07-30,1,1,108,11,0,0
"30",2020-07-30,5,1,367,97,0,0
"31",2020-07-30,21,3,675,73,0,1
"32",2020-07-30,1,0,88,23,0,0
"33",2020-07-30,35,8,973,158,0,1
"34",2020-07-30,4,0,714,123,0,0
"35",2020-07-30,33,3,484,88,1,0
"36",2020-07-30,79,1,112,79,0,0
"37",2020-07-30,21,1,358,87,0,8
"38",2020-07-30,23,1,709,153,0,0
"39",2020-07-30,1,0,327,60,0,0
"40",2020-07-30,3,0,75,13,0,0
"41",2020-07-30,55,0,276,63,0,0
"42",2020-07-30,72,2,978,248,0,4
"43",2020-07-30,1,0,106,18,0,0
"44",2020-07-30,7,0,739,164,0,1
"45",2020-07-30,30,3,633,103,0,7
"46",2020-07-30,0,0,70,22,0,0
"47",2020-07-30,1,1,79,11,0,0
"48",2020-07-30,0,0,24,1,0,0
"49",2020-07-30,36,1,633,141,0,0
"50",2020-07-30,27,0,150,47,0,1
"51",2020-07-30,71,4,1005,267,0,0
"52",2020-07-30,20,0,258,89,1,0
"53",2020-07-30,17,0,208,45,0,5
"54",2020-07-30,54,2,1235,360,0,1
"55",2020-07-30,3,0,501,103,0,0
"56",2020-07-30,17,1,432,96,0,0
"57",2020-07-30,161,3,2496,839,0,1
"58",2020-07-30,0,0,99,28,0,0
"59",2020-07-30,196,17,2517,664,0,2
"60",2020-07-30,135,4,1192,415,0,0
"61",2020-07-30,22,2,244,40,0,0
"62",2020-07-30,88,13,1399,318,1,1
"63",2020-07-30,16,0,179,43,0,0
"64",2020-07-30,0,0,227,27,0,1
"65",2020-07-30,3,2,157,27,0,0
"66",2020-07-30,1,0,281,34,0,1
"67",2020-07-30,166,4,2642,670,4,4
"68",2020-07-30,146,5,2999,824,0,2
"69",2020-07-30,96,5,3084,664,0,3
"70",2020-07-30,0,0,309,77,0,0
"71",2020-07-30,2,1,784,201,0,2
"73",2020-07-30,5,0,417,73,0,4
"74",2020-07-30,66,2,872,167,1,7
"75",2020-07-30,280,38,6416,1776,0,10
"76",2020-07-30,42,4,815,183,0,1
"77",2020-07-30,192,30,2709,701,0,0
"78",2020-07-30,295,22,2325,528,0,3
"79",2020-07-30,1,0,68,22,0,1
"80",2020-07-30,39,0,754,233,1,0
"81",2020-07-30,2,2,123,23,0,0
"82",2020-07-30,5,0,42,6,0,0
"83",2020-07-30,51,2,1010,140,0,0
"84",2020-07-30,7,2,262,38,0,1
"85",2020-07-30,9,0,267,42,1,0
"86",2020-07-30,2,0,148,40,0,0
"87",2020-07-30,2,0,133,25,0,0
"88",2020-07-30,9,0,741,266,0,0
"89",2020-07-30,12,2,385,94,0,3
"91",2020-07-30,259,13,2456,538,0,4
"92",2020-07-30,573,37,4507,1093,1,1
"93",2020-07-30,462,23,3922,1011,3,14
"94",2020-07-30,304,12,4440,1209,0,5
"95",2020-07-30,258,5,2655,711,0,1
"971",2020-07-30,5,0,84,17,0,0
"973",2020-07-30,126,30,1038,41,0,29
"974",2020-07-30,17,2,163,5,0,3
"976",2020-07-30,8,2,422,28,0,6
"1",2020-07-31,29,1,450,105,0,0
"2",2020-07-31,46,4,1096,279,0,2
"3",2020-07-31,2,0,203,41,0,0
"4",2020-07-31,2,0,131,13,0,0
"5",2020-07-31,3,0,133,18,0,0
"6",2020-07-31,31,5,778,190,0,1
"7",2020-07-31,1,1,449,110,0,1
"8",2020-07-31,5,0,216,60,0,0
"9",2020-07-31,0,0,33,2,0,0
"10",2020-07-31,24,0,630,136,0,1
"11",2020-07-31,5,2,235,59,0,0
"12",2020-07-31,5,1,144,24,0,0
"13",2020-07-31,286,11,3428,567,1,14
"14",2020-07-31,15,1,329,85,0,1
"15",2020-07-31,6,1,52,9,0,2
"16",2020-07-31,2,0,59,13,0,0
"17",2020-07-31,5,0,149,51,0,0
"18",2020-07-31,7,0,197,85,0,1
"19",2020-07-31,1,0,159,37,0,0
"21",2020-07-31,3,0,955,250,0,0
"22",2020-07-31,3,0,226,39,0,1
"23",2020-07-31,1,1,81,14,0,0
"24",2020-07-31,1,0,98,14,0,0
"25",2020-07-31,2,0,640,151,0,0
"26",2020-07-31,6,3,536,129,0,1
"27",2020-07-31,35,0,248,84,0,1
"28",2020-07-31,18,3,585,142,2,14
"29",2020-07-31,7,0,191,44,0,2
"2A",2020-07-31,7,0,144,48,0,0
"2B",2020-07-31,0,0,108,11,0,0
"30",2020-07-31,5,1,367,97,0,0
"31",2020-07-31,23,3,675,73,0,0
"32",2020-07-31,1,0,88,23,0,0
"33",2020-07-31,35,8,974,158,0,1
"34",2020-07-31,3,0,715,123,0,1
"35",2020-07-31,31,3,487,88,0,3
"36",2020-07-31,79,1,112,79,0,0
"37",2020-07-31,20,2,360,87,0,2
"38",2020-07-31,23,1,709,153,0,0
"39",2020-07-31,1,0,327,60,0,0
"40",2020-07-31,3,0,75,13,0,0
"42",2020-07-31,73,2,979,248,0,1
"43",2020-07-31,1,0,106,18,0,0
"44",2020-07-31,7,0,739,164,0,0
"45",2020-07-31,29,3,633,103,0,0
"46",2020-07-31,0,0,70,22,0,0
"47",2020-07-31,1,1,79,11,0,0
"48",2020-07-31,0,0,24,1,0,0
"49",2020-07-31,37,1,634,141,0,1
"50",2020-07-31,27,0,150,47,0,0
"51",2020-07-31,71,4,1005,267,0,0
"52",2020-07-31,19,0,258,90,1,0
"53",2020-07-31,17,0,208,45,0,0
"54",2020-07-31,58,2,1237,360,0,2
"55",2020-07-31,3,0,501,103,0,0
"56",2020-07-31,16,0,433,96,0,1
"57",2020-07-31,158,3,2498,840,1,2
"58",2020-07-31,0,0,99,28,0,0
"59",2020-07-31,193,17,2528,665,1,11
"60",2020-07-31,135,3,1193,416,1,1
"61",2020-07-31,22,2,245,40,0,1
"62",2020-07-31,84,13,1404,319,1,5
"63",2020-07-31,16,0,179,43,0,0
"64",2020-07-31,0,0,227,27,0,0
"65",2020-07-31,3,2,157,27,0,0
"66",2020-07-31,0,0,282,34,0,1
"67",2020-07-31,163,2,2646,670,0,4
"68",2020-07-31,144,4,3001,824,0,2
"69",2020-07-31,91,5,3094,664,0,10
"70",2020-07-31,0,0,309,77,0,0
"71",2020-07-31,2,1,784,201,0,0
"72",2020-07-31,39,1,371,84,0,0
"73",2020-07-31,6,0,417,73,0,0
"74",2020-07-31,65,2,873,167,0,1
"75",2020-07-31,280,37,6420,1776,0,4
"76",2020-07-31,42,4,815,184,1,0
"77",2020-07-31,201,30,2716,702,1,7
"78",2020-07-31,281,21,2343,528,0,18
"79",2020-07-31,1,0,68,22,0,0
"80",2020-07-31,39,0,754,233,0,0
"81",2020-07-31,2,1,123,23,0,0
"82",2020-07-31,5,0,42,6,0,0
"83",2020-07-31,51,2,1010,140,0,0
"84",2020-07-31,7,2,262,38,0,0
"85",2020-07-31,8,0,267,42,0,0
"86",2020-07-31,2,0,148,40,0,0
"87",2020-07-31,3,0,133,25,0,0
"88",2020-07-31,8,0,741,266,0,0
"89",2020-07-31,12,3,385,94,0,0
"90",2020-07-31,3,0,557,200,0,0
"91",2020-07-31,258,13,2458,538,0,2
"92",2020-07-31,574,37,4532,1093,0,25
"93",2020-07-31,454,22,3932,1012,1,10
"94",2020-07-31,311,13,4444,1209,0,4
"95",2020-07-31,245,5,2673,711,0,18
"971",2020-07-31,5,0,84,17,0,0
"972",2020-07-31,9,4,95,15,0,0
"973",2020-07-31,111,28,1072,41,0,34
"974",2020-07-31,18,3,163,5,0,0
"976",2020-07-31,9,1,423,28,0,1
"1",2020-08-01,29,1,450,105,0,0
"2",2020-08-01,46,4,1096,279,0,0
"3",2020-08-01,2,0,203,41,0,0
"4",2020-08-01,2,0,131,13,0,0
"5",2020-08-01,3,0,133,18,0,0
"6",2020-08-01,32,5,778,190,0,0
"7",2020-08-01,1,1,449,110,0,0
"8",2020-08-01,5,0,216,60,0,0
"9",2020-08-01,0,0,33,2,0,0
"10",2020-08-01,22,0,632,136,0,2
"11",2020-08-01,4,1,235,59,0,0
"12",2020-08-01,6,1,144,24,0,0
"13",2020-08-01,285,11,3430,567,0,2
"14",2020-08-01,15,1,329,85,0,0
"15",2020-08-01,6,1,52,9,0,0
"16",2020-08-01,3,0,59,13,0,0
"17",2020-08-01,5,0,149,51,0,0
"18",2020-08-01,7,0,197,85,0,0
"19",2020-08-01,1,0,159,37,0,0
"21",2020-08-01,3,0,955,250,0,0
"22",2020-08-01,3,0,226,39,0,0
"23",2020-08-01,1,1,81,14,0,0
"24",2020-08-01,1,0,98,14,0,0
"25",2020-08-01,2,0,640,151,0,0
"26",2020-08-01,6,3,536,129,0,0
"27",2020-08-01,35,0,248,84,0,0
"28",2020-08-01,18,3,585,142,0,0
"29",2020-08-01,7,0,191,44,0,0
"2A",2020-08-01,7,0,144,48,0,0
"2B",2020-08-01,0,0,108,11,0,0
"30",2020-08-01,5,1,367,97,0,0
"31",2020-08-01,23,3,676,73,0,1
"32",2020-08-01,1,0,88,23,0,0
"33",2020-08-01,35,8,974,158,0,0
"34",2020-08-01,2,0,716,123,0,1
"35",2020-08-01,30,3,488,88,0,1
"36",2020-08-01,73,1,119,79,0,7
"37",2020-08-01,20,2,360,87,0,0
"38",2020-08-01,24,1,709,153,0,0
"39",2020-08-01,1,0,327,60,0,0
"40",2020-08-01,3,0,75,13,0,0
"41",2020-08-01,36,0,305,63,0,30
"42",2020-08-01,73,2,979,248,0,0
"43",2020-08-01,1,0,106,18,0,0
"44",2020-08-01,7,0,739,164,0,0
"45",2020-08-01,31,4,633,103,0,0
"46",2020-08-01,0,0,70,22,0,0
"47",2020-08-01,2,2,79,11,0,0
"48",2020-08-01,0,0,24,1,0,0
"49",2020-08-01,37,1,634,141,0,0
"50",2020-08-01,27,0,150,47,0,0
"51",2020-08-01,71,4,1005,267,0,0
"52",2020-08-01,19,0,258,90,0,0
"53",2020-08-01,15,0,216,45,0,8
"54",2020-08-01,56,2,1239,360,0,2
"55",2020-08-01,3,0,501,103,0,0
"56",2020-08-01,16,0,433,96,0,0
"57",2020-08-01,118,3,2535,844,4,37
"58",2020-08-01,0,0,99,28,0,0
"59",2020-08-01,194,21,2533,666,1,5
"60",2020-08-01,137,4,1193,416,0,0
"61",2020-08-01,22,2,245,40,0,0
"62",2020-08-01,82,12,1407,319,0,3
"63",2020-08-01,16,0,179,43,0,0
"64",2020-08-01,0,0,227,27,0,0
"65",2020-08-01,3,2,157,27,0,0
"66",2020-08-01,0,0,282,34,0,0
"67",2020-08-01,163,2,2646,670,0,0
"68",2020-08-01,144,4,3001,824,0,0
"69",2020-08-01,91,6,3095,664,0,1
"70",2020-08-01,0,0,309,77,0,0
"71",2020-08-01,2,1,784,201,0,0
"72",2020-08-01,39,1,371,84,0,0
"73",2020-08-01,5,0,418,73,0,1
"74",2020-08-01,65,1,873,167,0,0
"75",2020-08-01,273,34,6424,1776,0,4
"76",2020-08-01,42,4,815,184,0,0
"77",2020-08-01,200,29,2717,702,0,1
"78",2020-08-01,283,21,2343,528,0,0
"79",2020-08-01,1,0,68,22,0,0
"80",2020-08-01,40,0,754,233,0,0
"81",2020-08-01,3,1,123,23,0,0
"82",2020-08-01,5,0,42,6,0,0
"83",2020-08-01,51,2,1010,140,0,0
"84",2020-08-01,7,2,262,38,0,0
"85",2020-08-01,8,0,267,42,0,0
"86",2020-08-01,2,0,148,40,0,0
"87",2020-08-01,3,0,133,25,0,0
"88",2020-08-01,9,0,741,266,0,0
"89",2020-08-01,12,3,386,94,0,1
"90",2020-08-01,3,0,557,200,0,0
"91",2020-08-01,258,13,2459,538,0,1
"92",2020-08-01,569,36,4550,1093,0,18
"93",2020-08-01,457,22,3933,1012,0,1
"94",2020-08-01,309,13,4446,1209,0,2
"95",2020-08-01,248,5,2674,712,1,1
"971",2020-08-01,4,0,85,17,0,1
"972",2020-08-01,9,4,95,15,0,0
"973",2020-08-01,105,25,1087,41,0,15
"974",2020-08-01,18,3,163,5,0,0
"976",2020-08-01,9,1,423,28,0,0
"1",2020-08-02,29,1,450,105,0,0
"2",2020-08-02,47,5,1096,279,0,0
"3",2020-08-02,2,0,203,41,0,0
"4",2020-08-02,2,0,131,13,0,0
"5",2020-08-02,3,0,133,18,0,0
"6",2020-08-02,33,5,778,190,0,0
"7",2020-08-02,1,1,449,110,0,0
"8",2020-08-02,5,0,216,60,0,0
"9",2020-08-02,0,0,33,2,0,0
"10",2020-08-02,22,0,632,136,0,0
"11",2020-08-02,4,1,235,59,0,0
"12",2020-08-02,6,1,144,24,0,0
"13",2020-08-02,285,11,3432,567,0,2
"14",2020-08-02,15,1,329,85,0,0
"15",2020-08-02,6,1,52,9,0,0
"16",2020-08-02,1,0,61,13,0,2
"17",2020-08-02,5,0,149,51,0,0
"18",2020-08-02,7,0,197,85,0,0
"19",2020-08-02,1,0,159,37,0,0
"21",2020-08-02,3,0,955,250,0,0
"22",2020-08-02,3,0,226,39,0,0
"23",2020-08-02,1,1,81,14,0,0
"24",2020-08-02,1,0,98,14,0,0
"25",2020-08-02,2,0,640,151,0,0
"26",2020-08-02,6,3,536,129,0,0
"27",2020-08-02,35,0,248,84,0,0
"28",2020-08-02,18,3,585,142,0,0
"29",2020-08-02,7,0,191,44,0,0
"2A",2020-08-02,7,0,144,48,0,0
"2B",2020-08-02,0,0,108,11,0,0
"30",2020-08-02,5,1,367,97,0,0
"31",2020-08-02,23,3,676,73,0,0
"32",2020-08-02,1,0,88,23,0,0
"33",2020-08-02,35,8,974,158,0,0
"34",2020-08-02,2,0,716,123,0,0
"35",2020-08-02,30,3,488,88,0,0
"36",2020-08-02,73,1,119,79,0,0
"37",2020-08-02,20,2,360,87,0,0
"38",2020-08-02,24,1,709,153,0,0
"39",2020-08-02,1,0,327,60,0,0
"40",2020-08-02,3,0,75,13,0,0
"41",2020-08-02,36,0,305,63,0,0
"42",2020-08-02,73,2,979,248,0,0
"43",2020-08-02,1,0,106,18,0,0
"44",2020-08-02,7,0,739,164,0,0
"45",2020-08-02,31,4,634,103,0,1
"46",2020-08-02,0,0,70,22,0,0
"47",2020-08-02,2,2,79,11,0,0
"48",2020-08-02,0,0,24,1,0,0
"49",2020-08-02,37,1,634,141,0,0
"50",2020-08-02,27,0,150,47,0,0
"51",2020-08-02,71,4,1005,267,0,0
"52",2020-08-02,19,0,258,90,0,0
"53",2020-08-02,15,0,216,45,0,0
"54",2020-08-02,56,2,1239,360,0,0
"55",2020-08-02,3,0,501,103,0,0
"56",2020-08-02,16,0,433,96,0,0
"57",2020-08-02,118,3,2535,844,0,0
"58",2020-08-02,0,0,99,28,0,0
"59",2020-08-02,194,21,2533,666,0,0
"60",2020-08-02,137,5,1193,416,0,0
"61",2020-08-02,22,2,245,40,0,0
"62",2020-08-02,82,12,1407,319,0,0
"63",2020-08-02,16,0,179,43,0,0
"64",2020-08-02,0,0,227,27,0,0
"65",2020-08-02,3,2,157,27,0,0
"66",2020-08-02,0,0,282,34,0,0
"67",2020-08-02,163,2,2646,670,0,0
"68",2020-08-02,144,4,3001,824,0,0
"69",2020-08-02,92,6,3096,664,0,1
"70",2020-08-02,0,0,309,77,0,0
"71",2020-08-02,2,1,784,201,0,0
"72",2020-08-02,39,1,371,84,0,0
"73",2020-08-02,5,0,418,73,0,0
"74",2020-08-02,65,1,873,167,0,0
"75",2020-08-02,272,33,6425,1777,1,1
"76",2020-08-02,42,4,815,184,0,0
"77",2020-08-02,199,29,2718,702,0,1
"78",2020-08-02,283,21,2343,528,0,0
"79",2020-08-02,1,0,68,22,0,0
"80",2020-08-02,41,0,754,233,0,0
"81",2020-08-02,3,1,123,23,0,0
"82",2020-08-02,5,0,42,6,0,0
"83",2020-08-02,52,2,1010,140,0,0
"84",2020-08-02,7,2,262,38,0,0
"85",2020-08-02,8,0,267,42,0,0
"86",2020-08-02,2,0,148,40,0,0
"87",2020-08-02,3,0,133,25,0,0
"88",2020-08-02,9,0,741,266,0,0
"89",2020-08-02,12,3,386,94,0,0
"90",2020-08-02,3,0,557,200,0,0
"91",2020-08-02,258,13,2459,538,0,0
"92",2020-08-02,570,36,4550,1093,0,0
"93",2020-08-02,460,22,3933,1012,0,0
"94",2020-08-02,309,13,4446,1209,0,0
"95",2020-08-02,245,5,2677,712,0,3
"971",2020-08-02,4,0,85,17,0,0
"972",2020-08-02,9,4,95,15,0,0
"973",2020-08-02,113,25,1088,41,0,1
"974",2020-08-02,18,3,163,5,0,0
"976",2020-08-02,10,1,424,28,0,1
"1",2020-08-03,28,1,451,105,0,1
"2",2020-08-03,45,5,1097,280,1,1
"3",2020-08-03,2,0,203,41,0,0
"4",2020-08-03,2,0,131,13,0,0
"5",2020-08-03,3,0,133,18,0,0
"6",2020-08-03,35,5,780,190,0,2
"7",2020-08-03,1,1,449,110,0,0
"8",2020-08-03,3,0,218,60,0,2
"9",2020-08-03,0,0,33,2,0,0
"10",2020-08-03,22,0,632,136,0,0
"11",2020-08-03,3,1,236,59,0,1
"12",2020-08-03,6,1,144,24,0,0
"13",2020-08-03,289,11,3442,567,0,10
"14",2020-08-03,15,1,329,85,0,0
"15",2020-08-03,6,1,52,9,0,0
"16",2020-08-03,1,0,61,13,0,0
"17",2020-08-03,5,0,149,51,0,0
"18",2020-08-03,7,0,197,85,0,0
"19",2020-08-03,1,0,159,37,0,0
"21",2020-08-03,3,0,955,250,0,0
"22",2020-08-03,2,0,227,39,0,1
"23",2020-08-03,1,1,81,14,0,0
"24",2020-08-03,1,0,98,14,0,0
"25",2020-08-03,1,0,641,151,0,1
"26",2020-08-03,6,3,536,129,0,0
"27",2020-08-03,33,0,249,85,1,1
"28",2020-08-03,18,3,585,142,0,0
"29",2020-08-03,7,0,191,44,0,0
"2A",2020-08-03,7,0,144,48,0,0
"2B",2020-08-03,0,0,108,11,0,0
"30",2020-08-03,5,1,367,97,0,0
"31",2020-08-03,24,5,678,73,0,2
"32",2020-08-03,1,0,88,23,0,0
"33",2020-08-03,34,8,975,158,0,1
"34",2020-08-03,3,0,716,123,0,0
"35",2020-08-03,32,7,489,88,0,1
"36",2020-08-03,73,1,119,79,0,0
"37",2020-08-03,21,2,361,87,0,1
"38",2020-08-03,23,1,711,153,0,2
"39",2020-08-03,1,0,327,60,0,0
"40",2020-08-03,3,0,75,13,0,0
"41",2020-08-03,36,0,305,63,0,0
"42",2020-08-03,73,2,979,248,0,0
"43",2020-08-03,1,0,106,18,0,0
"44",2020-08-03,9,0,740,164,0,1
"45",2020-08-03,31,4,634,103,0,0
"46",2020-08-03,0,0,70,22,0,0
"47",2020-08-03,2,2,79,11,0,0
"48",2020-08-03,0,0,24,1,0,0
"49",2020-08-03,39,3,635,141,0,1
"50",2020-08-03,27,0,150,47,0,0
"51",2020-08-03,70,4,1006,267,0,1
"52",2020-08-03,19,0,258,90,0,0
"53",2020-08-03,17,3,216,46,1,0
"54",2020-08-03,57,1,1239,360,0,0
"55",2020-08-03,3,0,501,103,0,0
"56",2020-08-03,17,1,433,96,0,0
"57",2020-08-03,116,3,2537,844,0,2
"58",2020-08-03,0,0,99,28,0,0
"59",2020-08-03,195,22,2538,667,1,5
"60",2020-08-03,137,5,1193,418,2,0
"61",2020-08-03,24,2,245,40,0,0
"62",2020-08-03,79,10,1409,320,1,2
"63",2020-08-03,16,0,179,43,0,0
"64",2020-08-03,1,0,227,27,0,0
"65",2020-08-03,3,2,157,27,0,0
"66",2020-08-03,0,0,282,34,0,0
"67",2020-08-03,162,3,2647,671,1,1
"68",2020-08-03,142,3,3004,824,0,3
"69",2020-08-03,81,6,3108,664,0,12
"70",2020-08-03,0,0,309,77,0,0
"71",2020-08-03,4,1,784,201,0,0
"72",2020-08-03,42,4,371,84,0,0
"73",2020-08-03,5,0,420,73,0,2
"74",2020-08-03,68,1,873,168,1,0
"75",2020-08-03,275,35,6425,1779,2,0
"76",2020-08-03,37,2,820,184,0,5
"77",2020-08-03,195,30,2725,705,3,7
"79",2020-08-03,1,0,68,22,0,0
"80",2020-08-03,41,0,754,233,0,0
"81",2020-08-03,4,1,123,23,0,0
"82",2020-08-03,4,0,42,7,1,0
"83",2020-08-03,53,2,1010,140,0,0
"84",2020-08-03,7,2,262,38,0,0
"85",2020-08-03,8,0,267,42,0,0
"86",2020-08-03,2,0,148,40,0,0
"87",2020-08-03,3,0,133,25,0,0
"88",2020-08-03,9,0,741,266,0,0
"89",2020-08-03,9,3,389,94,0,3
"90",2020-08-03,3,0,558,200,0,1
"91",2020-08-03,238,12,2482,538,0,23
"92",2020-08-03,571,37,4560,1093,0,10
"93",2020-08-03,468,22,3933,1012,0,0
"94",2020-08-03,303,13,4451,1211,2,5
"95",2020-08-03,224,4,2697,717,5,20
"971",2020-08-03,4,0,85,17,0,0
"972",2020-08-03,9,4,95,15,0,0
"973",2020-08-03,129,27,1094,41,0,6
"974",2020-08-03,18,3,163,5,0,0
"976",2020-08-03,11,1,424,28,0,0
"1",2020-08-04,27,1,452,105,0,1
"2",2020-08-04,45,5,1097,280,0,0
"3",2020-08-04,2,0,203,41,0,0
"4",2020-08-04,2,0,131,13,0,0
"5",2020-08-04,3,0,133,18,0,0
"6",2020-08-04,38,5,783,190,0,3
"7",2020-08-04,1,1,449,110,0,0
"8",2020-08-04,2,0,219,60,0,1
"9",2020-08-04,0,0,33,2,0,0
"10",2020-08-04,21,0,632,137,1,0
"11",2020-08-04,3,1,236,59,0,0
"12",2020-08-04,6,1,144,24,0,0
"13",2020-08-04,278,10,3457,568,1,15
"14",2020-08-04,15,1,330,85,0,1
"15",2020-08-04,6,1,52,9,0,0
"16",2020-08-04,1,0,61,13,0,0
"17",2020-08-04,5,0,149,51,0,0
"18",2020-08-04,6,0,198,85,0,1
"19",2020-08-04,1,0,159,37,0,0
"21",2020-08-04,3,0,955,250,0,0
"22",2020-08-04,2,0,227,39,0,0
"23",2020-08-04,1,1,81,14,0,0
"24",2020-08-04,1,0,98,14,0,0
"25",2020-08-04,1,0,641,151,0,0
"26",2020-08-04,6,2,536,129,0,0
"27",2020-08-04,33,0,249,85,0,0
"28",2020-08-04,18,3,585,142,0,0
"29",2020-08-04,7,0,191,44,0,0
"2A",2020-08-04,7,0,144,48,0,0
"2B",2020-08-04,0,0,108,11,0,0
"30",2020-08-04,5,1,367,97,0,0
"31",2020-08-04,25,5,678,73,0,0
"32",2020-08-04,1,0,88,23,0,0
"33",2020-08-04,32,6,976,159,1,1
"34",2020-08-04,4,0,716,123,0,0
"35",2020-08-04,35,9,489,88,0,0
"36",2020-08-04,73,1,119,79,0,0
"37",2020-08-04,21,3,361,87,0,0
"38",2020-08-04,23,1,712,153,0,1
"39",2020-08-04,1,0,327,60,0,0
"40",2020-08-04,3,0,75,13,0,0
"41",2020-08-04,37,0,306,63,0,1
"42",2020-08-04,74,2,979,248,0,0
"43",2020-08-04,1,0,106,18,0,0
"44",2020-08-04,9,0,741,164,0,1
"45",2020-08-04,30,4,635,103,0,1
"46",2020-08-04,0,0,70,22,0,0
"47",2020-08-04,2,1,79,11,0,0
"48",2020-08-04,0,0,24,1,0,0
"49",2020-08-04,38,3,637,141,0,2
"50",2020-08-04,25,0,151,48,1,1
"51",2020-08-04,70,4,1006,267,0,0
"52",2020-08-04,19,0,258,90,0,0
"53",2020-08-04,12,2,219,46,0,3
"54",2020-08-04,56,1,1240,360,0,1
"55",2020-08-04,3,0,501,103,0,0
"56",2020-08-04,20,1,434,96,0,1
"57",2020-08-04,116,3,2537,844,0,0
"58",2020-08-04,0,0,99,28,0,0
"59",2020-08-04,190,23,2553,668,1,15
"60",2020-08-04,136,5,1194,418,0,1
"61",2020-08-04,24,2,245,40,0,0
"62",2020-08-04,84,10,1409,320,0,0
"63",2020-08-04,16,0,179,43,0,0
"64",2020-08-04,1,0,227,27,0,0
"65",2020-08-04,3,2,157,27,0,0
"66",2020-08-04,0,0,282,34,0,0
"67",2020-08-04,160,3,2649,671,0,2
"68",2020-08-04,141,3,3005,824,0,1
"69",2020-08-04,80,7,3112,664,0,4
"70",2020-08-04,0,0,309,77,0,0
"71",2020-08-04,4,1,784,201,0,0
"72",2020-08-04,34,4,383,84,0,12
"73",2020-08-04,3,0,423,73,0,3
"74",2020-08-04,67,1,875,168,0,2
"75",2020-08-04,277,38,6433,1781,2,8
"76",2020-08-04,31,1,826,184,0,6
"77",2020-08-04,197,29,2727,705,0,2
"78",2020-08-04,281,22,2338,528,0,6
"79",2020-08-04,1,0,68,22,0,0
"80",2020-08-04,40,0,755,233,0,1
